分层维度,分层,模型,预测步长/小时,RMSE,MAE,R2,样本数
季节,雨季,LightGBM,2,1.1553968171587672,0.5963542097914389,-0.08075596310515443,660
季节,雨季,GRU,2,1.1817709820470907,0.5744088628337238,-0.130659797694479,660
季节,雨季,MoE,2,1.1321997411080649,0.516711983356512,-0.03779460642120647,660
季节,雨季,季节朴素,4,1.1754377005519212,0.43125757575757573,-0.11909999181177722,660
季节,雨季,机理专家,4,1.2413093706768743,0.5845682054937829,-0.2480435161329646,660
季节,雨季,LightGBM,4,1.1638083708786404,0.5753599070405863,-0.09706564140595231,660
季节,雨季,GRU,4,1.1774504825073426,0.5574280525495608,-0.12293589536827687,660
季节,雨季,MoE,4,1.1435188248823787,0.5008021427456176,-0.059147139147292194,660
季节,雨季,季节朴素,6,1.175435444781416,0.43124242424242415,-0.11960168537268467,660
季节,雨季,机理专家,6,1.2415244324714203,0.5855545738431078,-0.24904049760648284,660
季节,雨季,LightGBM,6,1.1813069931450504,0.5730758979814464,-0.13081491570604942,660
季节,雨季,GRU,6,1.1973223141859228,0.565057135463664,-0.1616843302494737,660
季节,雨季,MoE,6,1.1704525902682121,0.5240434536672,-0.11012947214800195,660
季节,雨季,季节朴素,8,1.175433897964853,0.43124242424242415,-0.12007504679013703,660
季节,雨季,机理专家,8,1.2417202100391962,0.5864577830856365,-0.24996599802135444,660
季节,雨季,LightGBM,8,1.205187834292843,0.5832036721806495,-0.1774979998754267,660
季节,雨季,GRU,8,1.1827270410237265,0.5478040240551486,-0.13401748966912974,660
季节,雨季,MoE,8,1.178166410172787,0.5257945525853922,-0.12528874060983997,660
季节,雨季,季节朴素,10,1.1754235213511148,0.43113636363636365,-0.12033855707216157,660
季节,雨季,机理专家,10,1.2418485807891977,0.5871261357850027,-0.25054066640095196,660
季节,雨季,LightGBM,10,1.2118817564634836,0.5806694576044058,-0.19091570885489717,660
季节,雨季,GRU,10,1.188888863572653,0.5497349136295643,-0.14615419023411458,660
季节,雨季,MoE,10,1.1857516945739022,0.5281721580245278,-0.14011336426409815,660
季节,雨季,季节朴素,12,1.1754782392324796,0.4314545454545454,-0.1207134048156615,660
季节,雨季,机理专家,12,1.241972791570384,0.5877806486706294,-0.25109285075375976,660
季节,雨季,LightGBM,12,1.1761874022118333,0.5775895245630186,-0.12206605971220164,660
季节,雨季,GRU,12,1.173274812307201,0.5434690712988377,-0.11651580155576169,660
季节,雨季,MoE,12,1.1561188990504656,0.5136233749380618,-0.08410258584941377,660
季节,旱季,季节朴素,2,0.20103896803024696,0.07703030303030303,0.36819709483060714,660
季节,旱季,机理专家,2,0.24801577004552786,0.17832181027347951,0.03843262772672784,660
季节,旱季,LightGBM,2,0.2830755928219531,0.1845543109855165,-0.25263913837010743,660
季节,旱季,GRU,2,0.3125332385158046,0.2130045747639555,-0.526910390315322,660
季节,旱季,MoE,2,0.23788590606329976,0.16314352254795306,0.115376340247482,660
季节,旱季,季节朴素,4,0.20104499722472804,0.07703030303030302,0.37229134048666157,660
